rank,name,uniprot,species,score,simiscore
337,Amine oxidase [flavin-containing] A,P21396,Rattus norvegicus,0.041,1.364
338,Amine oxidase [flavin-containing] B,P19643,Rattus norvegicus,0.029,1.364
339,Tyrosine-protein kinase LCK,Q5TDH8,Homo sapiens,0.03,1.364
340,Amine oxidase,Q864W3,Bos taurus,0.03,1.364
341,"Glycogen Synthase Kinase-3, alpha/beta",O14959,Homo sapiens,0.03,1.363
342,tissue-nonspecific alkaline phosphatase precursor,Q5BKZ5,Homo sapiens,0.03,1.362
343,GABA receptor alpha-3/beta-3/gamma-2 subunit,n/a,Homo sapiens,0.091,1.362
344,Neuronal acetylcholine receptor protein alpha-4/beta-2 subunit,n/a,Rattus norvegicus,0.03,1.362
345,Thrombin,Q7Z7P3,Homo sapiens,0.03,1.361
346,Immunophilin FKBP12,Q6LEU3,Homo sapiens,0.03,1.361
347,"Indoleamine 2,3-Dioxygenase",P14902,Homo sapiens,0.03,1.36
348,Cyclin-Dependent Kinase 1 (CDK1),P06493,Homo sapiens,0.03,1.36
349,Phosphodiesterase 1A/1B,P14100,Bos taurus,0.03,1.36
350,Chymase,Q16018,Homo sapiens,0.03,1.359
351,mitogen-activated protein kinase kinase kinase kinase 2,Q12851,Homo sapiens,0.03,1.359
352,Dopamine D1 receptor/D3 receptor/D4 receptor/D5 receptor/Receptor D2,P18901,Rattus norvegicus,0.03,1.359
353,Dopamine Transporter (DAT),A2RUN4,Homo sapiens,0.091,1.359
354,MAPK-Activated Protein Kinase 2 (MK2),P49137,Homo sapiens,0.03,1.359
355,high affinity choline transporter 1,Q53TF2,Homo sapiens,0.03,1.359
356,Acyl coenzyme A:cholesterol acyltransferase,Q9UDG8,Homo sapiens,0.03,1.358
357,Mitogen-activated protein kinase 10 (Stress-activated protein kinase JNK3) (c-Jun N-terminal kinase 3) (MAP kinase p49 3F12).,A6NG28,Homo sapiens,0.03,1.358
358,Angiotensin-converting enzyme,P12822,Oryctolagus cuniculus,0.03,1.358
359,Estrogen receptor 1,Q6MZQ9,Homo sapiens,0.03,1.357
360,Lipoxygenase,O75342,Homo sapiens,0.03,1.357
361,Glutamate [NMDA] receptor subunit 3A/3B/epsilon 1/epsilon 2/epsilon 3/epsilon 4/zeta 1,O09098,Rattus norvegicus,0.03,1.357
362,Eukaryotic translation initiation factor 4H,n/a,Homo sapiens,0.03,1.357
363,RGS8 protein,B4DGL9,Homo sapiens,0.03,1.356
364,DNA topoisomerase II alpha/beta,B2RTS1,Homo sapiens,0.03,1.356
365,Cruzipain,P25779,Trypanosoma cruzi,0.03,1.355
366,insulin-degrading enzyme isoform 1 precursor,Q5T5N2,Homo sapiens,0.03,1.355
367,Transthyretin,Q549C7,Homo sapiens,0.03,1.354
368,VEGFR-2 (KDR),O60723,Homo sapiens,0.03,1.354
369,Acetylcholinesterase (AChE),P37136,Rattus norvegicus,0.03,1.354
370,polyadenylate-binding protein 1,Q15097,Homo sapiens,0.03,1.354
371,Human herpesvirus 6 DNA polymerase,Q69061,Human herpesvirus 6A (strain Uganda-1102) (HHV-6 variant A) (Human Blymphotropic virus),0.03,1.354
372,Natural resistance-associated macrophage protein 2,B3KT08,Homo sapiens,0.03,1.353
373,Androgen Receptor (AR),P10275,Homo sapiens,0.03,1.353
374,Cyclin B/Dependent Kinase 1 (CDK1),P15206,Homo sapiens,0.03,1.353
375,DNA topoisomerase II alpha,Q9HB26,Homo sapiens,0.03,1.353
376,17-beta-Hydroxysteroid Dehydrogenase 1 (17-beta-HSD1),P14061,Homo sapiens,0.03,1.353
377,EGF-R Tyrosine Kinase,P00533,Homo sapiens,0.03,1.353
378,Cytochrome P450 2C9,Q16872,Homo sapiens,0.03,1.353
379,plectin 1,Q6S382,Homo sapiens,0.03,1.352
380,Adenosine A3 receptor,P28647,Rattus norvegicus,0.03,1.352
381,Prostaglandin G/H synthase 2,P35354,Homo sapiens,0.108,1.352
